tx_id,timestamp,project_id,milestone_id,donor_address,ngo_address,auditor_address,amount_eth,wallet_balance_eth,amount_to_wallet_ratio,receipt_count_24h,release_count_24h,hour_of_day,day_of_week,label
be1ed79c-cfb5-4d05-941b-ef3282cc237d,2026-03-22T15:12:19+00:00,45,4,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,2.630907,18.207499,0.144496,1,1,15,6,normal
3334d283-9474-4b11-92f3-32ae0a4eac3c,2026-04-14T16:25:19+00:00,7,2,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,10.903338,12.652862,0.861729,3,1,16,1,normal
61ccaea0-4c78-4c4d-9e4a-fcbdc1118dec,2026-04-29T13:44:19+00:00,37,1,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,78.794962,302.572823,0.260417,2,0,13,2,normal
3a903801-5a3b-4603-ba99-3f25b994f608,2026-04-17T17:08:19+00:00,44,0,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,10.542835,40.666774,0.259249,2,1,17,4,normal
5cc38a9f-4764-43d7-804e-56c880366a19,2026-04-16T11:44:19+00:00,21,3,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,57.359762,104.290477,0.550000,1,1,11,3,normal
2d62805e-1cc8-4e96-922d-834378ece126,2026-03-26T09:53:19+00:00,28,4,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,6.128872,56.723606,0.108048,1,1,9,3,normal
d4663136-e9d5-4da8-8e1d-b87cb08075cb,2026-04-23T08:42:19+00:00,34,2,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,0.230448,0.444143,0.518860,4,2,8,3,normal
41eac292-164a-42d2-b8d8-c9f683973ef2,2026-05-01T08:27:19+00:00,47,2,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,45.102964,82.005389,0.550000,4,2,8,4,normal
170faf11-e318-436c-8408-d28dcfe8c937,2026-03-30T14:18:19+00:00,39,2,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,13.608118,225.475797,0.060353,2,1,14,0,normal
3e3a7610-1c48-429d-8c34-94e3fb88f6ff,2026-04-08T07:58:19+00:00,28,1,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,13.239654,22.010015,0.601529,3,2,7,2,normal
0e35dfab-eaad-43ab-81ea-bf1dc6b54912,2026-03-18T10:28:19+00:00,22,0,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,54.303047,146.396577,0.370931,2,1,10,2,normal
6423c9c6-cc4f-49c7-9727-84e030b18a67,2026-04-18T15:09:19+00:00,37,3,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,0.677812,3.290428,0.205995,1,1,15,5,normal
a52fac75-d497-4c16-9576-49bbaff90ce5,2026-04-05T08:07:19+00:00,22,0,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,0.931103,1.181311,0.788195,1,1,8,6,normal
fc1724f8-36f9-4985-8612-289617a5cf94,2026-04-03T09:46:19+00:00,26,0,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,0.195010,0.444531,0.438686,1,0,9,4,normal
00cb0561-df8b-41a8-874d-719c409c5d4c,2026-04-07T16:14:19+00:00,10,1,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,0.071712,0.094311,0.760376,1,3,16,1,normal
df605bd0-e8fe-4729-ad00-61507db874a2,2026-03-25T07:39:19+00:00,5,4,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,0.308045,0.603494,0.510435,0,2,7,2,normal
fe8dd28d-9baf-4b6b-85f8-8848cf3cae74,2026-04-06T13:17:19+00:00,9,2,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,20.158499,99.199317,0.203212,1,2,13,0,normal
67c548e5-0df2-4777-9a1a-14bdec75c9e2,2026-04-27T14:44:19+00:00,19,1,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,5.130841,23.451827,0.218782,1,1,14,0,normal
1f405ef7-1350-4651-a019-c32d23bac8a5,2026-04-12T14:22:19+00:00,39,1,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,2.336863,24.617877,0.094925,2,1,14,6,normal
